"Database","Pathway","Comparison","N_Comparisons","Recurrence"
"GO-BP","positive regulation of monocyte chemotactic protein-1 production","D7_vs_D3",1,"1_Comparison"
"GO-BP","positive regulation of monocyte chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of mononuclear cell migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of myeloid cell differentiation","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of neutrophil chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of neutrophil migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of peptidyl-tyrosine phosphorylation","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of RIG-I signaling pathway","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of type I interferon-mediated signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","protein-DNA complex assembly","D7_vs_D0",1,"1_Comparison"
"GO-BP","protein-DNA complex organization","D7_vs_D0",1,"1_Comparison"
"GO-BP","protein auto-ADP-ribosylation","D3_vs_D0",1,"1_Comparison"
"GO-BP","protein autoubiquitination","D7_vs_D0",1,"1_Comparison"
"GO-BP","protein K63-linked ubiquitination","D7_vs_D0",1,"1_Comparison"
"GO-BP","protein localization to CENP-A containing chromatin","D7_vs_D0",1,"1_Comparison"
"GO-BP","protein polyubiquitination","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulated exocytosis","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of activated T cell proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of adaptive immune response","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of body fluid levels","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of cell killing","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of chemokine (C-X-C motif) ligand 2 production","D7_vs_D3",1,"1_Comparison"
"GO-BP","regulation of chemokine production","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of cold-induced thermogenesis","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of DNA binding","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of granulocyte chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of hemopoiesis","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of inflammasome-mediated signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of interleukin-1 beta production","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of interleukin-1 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of interleukin-10 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of interleukin-8 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of leukocyte degranulation","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of leukocyte mediated cytotoxicity","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of leukocyte proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of lymphocyte mediated immunity","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of lymphocyte proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of megakaryocyte differentiation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of monocyte chemotactic protein-1 production","D7_vs_D3",1,"1_Comparison"
"GO-BP","regulation of monocyte chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of mononuclear cell proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of myeloid leukocyte differentiation","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of neutrophil activation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of neutrophil chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of neutrophil migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of norepinephrine secretion","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of peptidyl-tyrosine phosphorylation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of T cell cytokine production","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of T cell mediated immunity","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of T cell migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","regulation of T cell proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of tumor necrosis factor-mediated signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of viral entry into host cell","D7_vs_D0",1,"1_Comparison"
"GO-BP","regulation of viral transcription","D3_vs_D0",1,"1_Comparison"
"GO-BP","response to chemokine","D3_vs_D0",1,"1_Comparison"
"GO-BP","response to interleukin-1","D3_vs_D0",1,"1_Comparison"
"GO-BP","response to interleukin-18","D3_vs_D0",1,"1_Comparison"
"GO-BP","response to protozoan","D7_vs_D0",1,"1_Comparison"
"GO-BP","response to wounding","D3_vs_D0",1,"1_Comparison"
"GO-BP","suppression of viral release by host","D7_vs_D0",1,"1_Comparison"
"GO-BP","symbiont entry into host","D3_vs_D0",1,"1_Comparison"
"GO-BP","symbiont entry into host cell","D3_vs_D0",1,"1_Comparison"
"GO-BP","T cell cytokine production","D3_vs_D0",1,"1_Comparison"
"GO-BP","T cell migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","T cell proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","temperature homeostasis","D7_vs_D0",1,"1_Comparison"
"GO-BP","toll-like receptor 4 signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","toll-like receptor signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","transposable element silencing","D7_vs_D0",1,"1_Comparison"
"GO-BP","type II interferon-mediated signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","unsaturated fatty acid biosynthetic process","D3_vs_D0",1,"1_Comparison"
"GO-BP","vesicle localization","D7_vs_D0",1,"1_Comparison"
"GO-BP","viral transcription","D3_vs_D0",1,"1_Comparison"
"GO-BP","wound healing","D3_vs_D0",1,"1_Comparison"
"KEGG","Coronavirus disease","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Epstein-Barr virus infection","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Hepatitis C","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Herpes simplex virus 1 infection","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Influenza A","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Measles","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","NOD-like receptor signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Staphylococcus aureus infection","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"KEGG","Cytosolic DNA-sensing pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Efferocytosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Hepatitis B","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Kaposi sarcoma-associated herpesvirus infection","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Legionellosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Lipid and atherosclerosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Natural killer cell mediated cytotoxicity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Necroptosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Neutrophil extracellular trap formation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Osteoclast differentiation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Phagocytosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Systemic lupus erythematosus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Toll-like receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Transcriptional misregulation in cancer","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"KEGG","Viral carcinogenesis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Viral protein interaction with cytokine and cytokine receptor","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"KEGG","Antigen processing and presentation","D7_vs_D0",1,"1_Comparison"
"KEGG","Cell adhesion molecule (CAM) interaction","D7_vs_D3",1,"1_Comparison"
"KEGG","Cytokine-cytokine receptor interaction","D3_vs_D0",1,"1_Comparison"
"KEGG","Human papillomavirus infection","D3_vs_D0",1,"1_Comparison"
"KEGG","IL-17 signaling pathway","D3_vs_D0",1,"1_Comparison"
"KEGG","Leishmaniasis","D7_vs_D0",1,"1_Comparison"
"KEGG","Malaria","D3_vs_D0",1,"1_Comparison"
"KEGG","NF-kappa B signaling pathway","D3_vs_D0",1,"1_Comparison"
"KEGG","PD-L1 expression and PD-1 checkpoint pathway in cancer","D7_vs_D3",1,"1_Comparison"
"KEGG","Pertussis","D3_vs_D0",1,"1_Comparison"
"KEGG","RIG-I-like receptor signaling pathway","D3_vs_D0",1,"1_Comparison"
"KEGG","Salmonella infection","D3_vs_D0",1,"1_Comparison"
"KEGG","TNF signaling pathway","D3_vs_D0",1,"1_Comparison"
"KEGG","Tuberculosis","D7_vs_D0",1,"1_Comparison"
"Reactome","Antimicrobial mechanism of IFN-stimulated genes","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"Reactome","Interferon alpha/beta signaling","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"Reactome","Interferon gamma signaling","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"Reactome","Interferon Signaling","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"Reactome","Modulation of host responses by IFN-stimulated genes","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"Reactome","Antimicrobial peptides","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Bacterial Infection Pathways","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Butyrophilin (BTN) family interactions","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Caspase activation via Death Receptors in the presence of ligand","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Caspase activation via extrinsic apoptotic signalling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Erythrocytes take up carbon dioxide and release oxygen","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Infection with Enterobacteria","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Neutrophil degranulation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Non-canonical inflammasome activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","O2/CO2 exchange in erythrocytes","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Pyroptosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Regulated Necrosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Respiratory Syncytial Virus Infection Pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"Reactome","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","D7_vs_D0",1,"1_Comparison"
"Reactome","Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)","D7_vs_D0",1,"1_Comparison"
"Reactome","Alpha-defensins","D7_vs_D3",1,"1_Comparison"
"Reactome","Amyloid fiber formation","D7_vs_D0",1,"1_Comparison"
"Reactome","Apoptosis","D7_vs_D0",1,"1_Comparison"
"Reactome","Assembly of the ORC complex at the origin of replication","D7_vs_D0",1,"1_Comparison"
"Reactome","B-WICH complex positively regulates rRNA expression","D7_vs_D0",1,"1_Comparison"
"Reactome","Base-Excision Repair, AP Site Formation","D7_vs_D0",1,"1_Comparison"
"Reactome","CASP8 activity is inhibited","D7_vs_D0",1,"1_Comparison"
"Reactome","Cellular Senescence","D7_vs_D0",1,"1_Comparison"
"Reactome","ChAHP complex assembly","D7_vs_D0",1,"1_Comparison"
"Reactome","CHD3, CHD4, CHD5 subfamily","D7_vs_D0",1,"1_Comparison"
"Reactome","CHD6, CHD7, CHD8, CHD9 subfamily","D7_vs_D0",1,"1_Comparison"
"Reactome","Chemokine receptors bind chemokines","D3_vs_D0",1,"1_Comparison"
"Reactome","Chromatin modifications during the maternal to zygotic transition (MZT)","D7_vs_D0",1,"1_Comparison"
"Reactome","Cleavage of the damaged purine","D7_vs_D0",1,"1_Comparison"
"Reactome","Cleavage of the damaged pyrimidine","D7_vs_D0",1,"1_Comparison"
"Reactome","Condensation of Prophase Chromosomes","D7_vs_D0",1,"1_Comparison"
"Reactome","Dectin-2 family","D7_vs_D0",1,"1_Comparison"
"Reactome","Defective C1GALT1C1 causes TNPS","D7_vs_D0",1,"1_Comparison"
"Reactome","Defective pyroptosis","D7_vs_D0",1,"1_Comparison"
"Reactome","Defensins","D7_vs_D3",1,"1_Comparison"
"Reactome","Depurination","D7_vs_D0",1,"1_Comparison"
"Reactome","Depyrimidination","D7_vs_D0",1,"1_Comparison"
"Reactome","Dimerization of procaspase-8","D7_vs_D0",1,"1_Comparison"
"Reactome","Diseases associated with the TLR signaling cascade","D7_vs_D0",1,"1_Comparison"
"Reactome","Diseases of Immune System","D7_vs_D0",1,"1_Comparison"
"Reactome","Diseases of programmed cell death","D7_vs_D0",1,"1_Comparison"
"Reactome","DNA Damage/Telomere Stress Induced Senescence","D7_vs_D0",1,"1_Comparison"
"Reactome","DNA methylation","D7_vs_D0",1,"1_Comparison"
"Reactome","Enterobacterial factors antagonize host defense","D7_vs_D0",1,"1_Comparison"
"Reactome","Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes","D7_vs_D0",1,"1_Comparison"
"Reactome","Epigenetic regulation of gene expression by MLL3 and MLL4 complexes","D7_vs_D0",1,"1_Comparison"
"Reactome","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","D7_vs_D0",1,"1_Comparison"
"Reactome","Fatty acid metabolism","D7_vs_D0",1,"1_Comparison"
"Reactome","Formation of the beta-catenin:TCF transactivating complex","D7_vs_D0",1,"1_Comparison"
"Reactome","FXIIa activates plasma kallikrein-kinin system","D7_vs_D0",1,"1_Comparison"
"Reactome","G2/M DNA damage checkpoint","D7_vs_D0",1,"1_Comparison"
"Reactome","GBP-mediated host defense","D7_vs_D0",1,"1_Comparison"
"Reactome","HDACs deacetylate histones","D7_vs_D0",1,"1_Comparison"
"Reactome","Inhibition of DNA recombination at telomere","D7_vs_D0",1,"1_Comparison"
"Reactome","Interaction of NuRD complexes with transcription factors","D7_vs_D0",1,"1_Comparison"
"Reactome","Interleukin-10 signaling","D3_vs_D0",1,"1_Comparison"
"Reactome","ISG15 antiviral mechanism","D3_vs_D0",1,"1_Comparison"
"Reactome","Maturation of nucleoprotein","D7_vs_D0",1,"1_Comparison"
"Reactome","Meiotic recombination","D7_vs_D0",1,"1_Comparison"
"Reactome","Meiotic synapsis","D7_vs_D0",1,"1_Comparison"
"Reactome","MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis","D7_vs_D0",1,"1_Comparison"
"Reactome","MyD88-independent TLR4 cascade","D7_vs_D0",1,"1_Comparison"
"Reactome","MyD88 deficiency (TLR2/4)","D7_vs_D0",1,"1_Comparison"
"Reactome","MyD88 dependent cascade initiated on endosome","D7_vs_D0",1,"1_Comparison"
"Reactome","Negative epigenetic regulation of rRNA expression","D7_vs_D0",1,"1_Comparison"
"Reactome","Negative Regulation of CDH1 Gene Transcription","D7_vs_D0",1,"1_Comparison"
"Reactome","Negative regulators of DDX58/IFIH1 signaling","D7_vs_D0",1,"1_Comparison"
"Reactome","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","D7_vs_D0",1,"1_Comparison"
"Reactome","Nicotinate metabolism","D7_vs_D0",1,"1_Comparison"
"Reactome","Nonhomologous End-Joining (NHEJ)","D7_vs_D0",1,"1_Comparison"
"Reactome","NoRC negatively regulates rRNA expression","D7_vs_D0",1,"1_Comparison"
"Reactome","NuRD complex assembly","D7_vs_D0",1,"1_Comparison"
"Reactome","O-linked glycosylation of mucins","D7_vs_D0",1,"1_Comparison"
"Reactome","Oxidative Stress Induced Senescence","D7_vs_D0",1,"1_Comparison"
"Reactome","Packaging Of Telomere Ends","D7_vs_D0",1,"1_Comparison"
"Reactome","PKR-mediated signaling","D3_vs_D0",1,"1_Comparison"
"Reactome","Positive epigenetic regulation of rRNA expression","D7_vs_D0",1,"1_Comparison"
"Reactome","PRC2 methylates histones and DNA","D7_vs_D0",1,"1_Comparison"
"Reactome","Pre-NOTCH Expression and Processing","D7_vs_D0",1,"1_Comparison"
"Reactome","Pre-NOTCH Transcription and Translation","D7_vs_D0",1,"1_Comparison"
"Reactome","Processing of DNA double-strand break ends","D7_vs_D0",1,"1_Comparison"
"Reactome","Programmed Cell Death","D7_vs_D0",1,"1_Comparison"
"Reactome","Recognition and association of DNA glycosylase with site containing an affected purine","D7_vs_D0",1,"1_Comparison"
"Reactome","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation by c-FLIP","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of CDH1 Gene Transcription","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of endogenous retroelements","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of endogenous retroelements by KRAB-ZFP proteins","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of IFNG signaling","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of necroptotic cell death","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of PD-L1(CD274) expression","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of PD-L1(CD274) transcription","D7_vs_D0",1,"1_Comparison"
"Reactome","Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7","D7_vs_D0",1,"1_Comparison"
"Reactome","Replacement of protamines by nucleosomes in the male pronucleus","D7_vs_D0",1,"1_Comparison"
"Reactome","RHO GTPases activate PKNs","D7_vs_D0",1,"1_Comparison"
"Reactome","RIPK1-mediated regulated necrosis","D7_vs_D0",1,"1_Comparison"
"Reactome","RNA Polymerase I Promoter Clearance","D7_vs_D0",1,"1_Comparison"
"Reactome","RNA Polymerase I Promoter Escape","D7_vs_D0",1,"1_Comparison"
"Reactome","RNA Polymerase I Promoter Opening","D7_vs_D0",1,"1_Comparison"
"Reactome","RNA Polymerase I Transcription","D7_vs_D0",1,"1_Comparison"
"Reactome","RSV-host interactions","D7_vs_D0",1,"1_Comparison"
"Reactome","Senescence-Associated Secretory Phenotype (SASP)","D7_vs_D0",1,"1_Comparison"
"Reactome","Signaling by Interleukins","D3_vs_D0",1,"1_Comparison"
"Reactome","SIRT1 negatively regulates rRNA expression","D7_vs_D0",1,"1_Comparison"
"Reactome","Toll-like Receptor Cascades","D7_vs_D0",1,"1_Comparison"
"Reactome","Toll Like Receptor 4 (TLR4) Cascade","D7_vs_D0",1,"1_Comparison"
"Reactome","Toll Like Receptor 7/8 (TLR7/8) Cascade","D7_vs_D0",1,"1_Comparison"
"Reactome","Toll Like Receptor 9 (TLR9) Cascade","D7_vs_D0",1,"1_Comparison"
"Reactome","TP53 Regulates Transcription of Caspase Activators and Caspases","D7_vs_D0",1,"1_Comparison"
"Reactome","TRAF3-dependent IRF activation pathway","D7_vs_D0",1,"1_Comparison"
"Reactome","Transcriptional regulation by small RNAs","D7_vs_D0",1,"1_Comparison"
"Reactome","Transcriptional regulation of granulopoiesis","D7_vs_D0",1,"1_Comparison"
"Reactome","TRIF-mediated programmed cell death","D7_vs_D0",1,"1_Comparison"
"Reactome","TRIF (TICAM1)-mediated TLR4 signaling","D7_vs_D0",1,"1_Comparison"
